Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 16:35:53.297,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:35:54.300,0.117187,0.273437,0.371094,0.12207,0.463867,1.259766,2
17/11/2017 16:35:55.300,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:35:56.301,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:35:57.303,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:35:58.302,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:35:59.301,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:00.305,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:01.304,0.117187,0.273437,0.375977,0.126953,0.463867,1.264648,2
17/11/2017 16:36:02.305,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:03.303,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:04.301,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:05.307,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:06.306,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:07.305,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:08.309,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:09.307,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:10.306,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:11.306,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:12.304,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:13.304,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:14.308,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:15.308,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:16.312,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:17.311,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:36:18.309,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:19.309,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:20.309,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:36:21.312,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:22.311,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:23.311,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:24.310,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:25.309,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:26.314,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:27.311,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:28.312,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:29.316,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:30.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:31.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
